metric,human_n,human_mean,human_std,machine_n,machine_mean,machine_std,difference,abs_difference,u_statistic,u_p_value,cohens_d,effect_size,significant_005,significant_001,characteristic_of,q_value,significant_fdr_005
cogproc (Cognitive Processes),20,9.185261721034852,2.6487900260771147,20,10.640237959184823,1.8359962540177632,-1.4549762381499711,1.4549762381499711,126.5,0.04829662491174332,-0.6384493397998459,medium,True,False,machine,0.2102323672628827,False
netspeak (Netspeak),20,0.7539815896355542,1.2827162652125563,20,0.16411033693156857,0.42714948177924505,0.5898712527039855,0.5898712527039855,260.0,0.05313396187204797,0.6170293043602392,medium,False,False,human,0.21333927338959627,False
see (See),20,1.266360846984682,1.2271447665824944,20,0.7130166780606879,0.4604908959714767,0.5533441689239942,0.5533441689239942,237.0,0.32074270052724196,0.5970446721386704,medium,False,False,human,0.5519758102096722,False
nonflu (Nonfluencies),20,0.0845327950991045,0.2039264836878773,20,0.0,0.0,0.0845327950991045,0.0845327950991045,230.0,0.08063104372594639,0.5862280520534772,medium,False,False,human,0.24861238482166803,False
assent (Assent),20,0.18440166033135705,0.290286685213724,20,0.056927244582043346,0.1395067693807192,0.1274744157493137,0.1274744157493137,243.5,0.12614077013008762,0.5597434015524726,medium,False,False,human,0.34571914776394386,False
achieve (Achievement),20,0.9978170717644229,0.7650456008697134,20,1.3523874120030355,0.4746196056914027,-0.35457034023861256,0.35457034023861256,138.0,0.09588417831743531,-0.5569615423642267,medium,False,False,machine,0.27290112290346974,False
social (Social),20,8.09301035573347,3.982257056440936,20,6.397534852359613,1.901820751132055,1.6954755033738573,1.6954755033738573,241.5,0.2673621552276778,0.5433310345928323,medium,False,False,human,0.5206526180749516,False
friend (Friends),20,0.6537121903337919,0.6889316577775912,20,0.3657356811303957,0.33671116320216804,0.28797650920339624,0.28797650920339624,222.0,0.5540059383383467,0.5311081197743623,medium,False,False,human,0.7148695504468685,False
relativ (Relativity),20,11.573535159256135,4.771692472242434,20,13.456417972013986,1.7586384129368025,-1.8828828127578507,1.8828828127578507,109.0,0.01436384760113641,-0.5236105960865741,medium,True,False,machine,0.13163290660504595,False
i (I),20,0.20197747796757698,0.4435482226873514,20,0.031512605042016806,0.13736026082586153,0.17046487292556017,0.17046487292556017,231.0,0.15107633024080885,0.5191855910408778,medium,False,False,human,0.36063382057483406,False
certain (Certainty),20,1.0832113539462676,1.063852532968167,20,1.5224419807311742,0.6637693395227764,-0.43923062678490665,0.43923062678490665,124.0,0.04059261071862388,-0.49537030514100455,small,True,False,machine,0.18822129126868328,False
male (Male),20,1.4243613681695382,1.6293080363983037,20,0.8354454583939475,0.46891337796497834,0.5889159097755907,0.5889159097755907,219.5,0.6066945294109616,0.4912304534065849,small,False,False,human,0.7336679685502399,False
insight (Insight),20,1.3293496242534346,1.0945413478796238,20,1.7676076827365705,0.6308731335445598,-0.4382580584831359,0.4382580584831359,134.5,0.07854971505446674,-0.4905977092709346,small,False,False,machine,0.24861238482166803,False
verb (Verbs),20,9.872495928896178,2.6351302492935016,20,8.76519893850963,1.8609575920242707,1.1072969903865477,1.1072969903865477,231.0,0.4093338852770344,0.4854167785049439,small,False,False,human,0.6181777042959294,False
shehe (SheHe),20,8.006320614231353,2.8982405729995993,20,6.860068495978394,1.8418954106201473,1.1462521182529581,1.1462521182529581,255.0,0.14041971470550127,0.4720570296196491,small,False,False,human,0.36063382057483406,False
leisure (Leisure),20,1.5147189934183163,1.8214748907597234,20,0.8410175242863416,1.0278166765747014,0.6737014691319747,0.6737014691319747,226.5,0.47588842665747444,0.45554813324113025,small,False,False,human,0.6644479919368511,False
power (Power),20,3.5804949200994876,3.1166787766158266,20,4.66169753753429,1.4476060502430206,-1.0812026174348026,1.0812026174348026,121.0,0.033684320096416684,-0.44494971223180535,small,True,False,machine,0.18822129126868328,False
affect (Affect),20,4.730992458618729,2.367462610121404,20,3.8760834322713507,1.4078354375473285,0.8549090263473786,0.8549090263473786,240.0,0.285304715907688,0.43893811850125086,small,False,False,human,0.5278137244292229,False
percept (Perceptual Processes),20,2.2710930916794343,1.6159938867767543,20,1.738868952628962,0.6393480493750895,0.5322241390504723,0.5322241390504723,235.0,0.3507022236669548,0.4331033652842097,small,False,False,human,0.5586823676069278,False
home (Home),20,0.1187981484651911,0.2762149027043495,20,0.2518952748253422,0.3357694074054999,-0.13309712636015109,0.13309712636015109,143.0,0.07278472087394931,-0.43292402186044104,small,False,False,machine,0.24861238482166803,False
you (You),20,1.1848507305610207,1.1578610283271464,20,0.7994331952290116,0.5590519214274006,0.3854175353320092,0.3854175353320092,227.0,0.47273210778535846,0.423922275046095,small,False,False,human,0.6644479919368511,False
drives (Drives),20,9.24157460634776,3.3878013179893665,20,10.382894660055701,1.8460877319556754,-1.1413200537079415,1.1413200537079415,128.5,0.054776299924355794,-0.4183546101123791,small,False,False,machine,0.21333927338959627,False
family (Family),20,0.25554048943652713,0.5246703378785066,20,0.43567741829483486,0.37681729456402235,-0.18013692885830773,0.18013692885830773,115.0,0.013466327842428969,-0.39437470145692943,small,True,False,machine,0.13163290660504595,False
health (Health),20,0.35585302018345777,0.6533004307760838,20,0.6269138859485212,0.7261584866961953,-0.2710608657650634,0.2710608657650634,128.0,0.04069649540944503,-0.39244892263303244,small,True,False,machine,0.18822129126868328,False
negemo (Negative Emotions),20,2.19899471865431,1.958130100957614,20,1.5997518788252207,1.1484808429730384,0.5992428398290894,0.5992428398290894,222.5,0.551588633256695,0.3733154018362685,small,False,False,human,0.7148695504468685,False
ipron (Impersonal Pronouns),20,13.71803652601326,3.158851925330114,20,12.773834637687706,1.7864071797254268,0.9442018883255532,0.9442018883255532,254.0,0.14784658271436188,0.3679540899588996,small,False,False,human,0.36063382057483406,False
focuspresent (Present Focus),20,5.653183326217173,2.0037577551164123,20,5.024294599299145,1.3847296331061585,0.6288887269180279,0.6288887269180279,245.0,0.22869435423745565,0.36514819208717797,small,False,False,human,0.48352520610204913,False
death (Death),20,0.3179888706700109,0.652917651724911,20,0.1281978536281355,0.34577744516056413,0.18979101704187543,0.18979101704187543,222.5,0.3943646258571296,0.3632859672344895,small,False,False,human,0.6079787981964082,False
time (Time),20,5.457556533751758,2.8148865728473518,20,6.224891030324704,1.1755719877866793,-0.7673344965729463,0.7673344965729463,145.5,0.14407765823123816,-0.3557366076152971,small,False,False,machine,0.36063382057483406,False
body (Body),20,0.43499671632514775,0.767030933057536,20,0.23628906971944647,0.29571852160905254,0.19870764660570128,0.19870764660570128,203.0,0.9409657437393435,0.3418416812471102,small,False,False,human,0.9568513064077546,False
auxverb (Auxiliary Verbs),20,4.473182686188672,1.5237483166578725,20,4.030471969760045,1.0669487720244162,0.4427107164286266,0.4427107164286266,228.5,0.4487874846878369,0.336577551111343,small,False,False,human,0.6642054773379986,False
swear (Swear),20,0.023923444976076555,0.10427987903207353,20,0.0,0.0,0.023923444976076555,0.023923444976076555,210.0,0.34211225261696365,0.3244428422615251,small,False,False,human,0.5586823676069278,False
motion (Motion),20,4.472316979611244,2.722351368566919,20,3.85901723844382,0.9628633238738917,0.6132997411674239,0.6132997411674239,222.0,0.5608516966002302,0.30036474006383773,small,False,False,human,0.7148695504468685,False
money (Money),20,1.3856578807159303,1.5299791868425985,20,1.7638673701846124,1.2097233725574268,-0.37820948946868205,0.37820948946868205,154.0,0.21580300409799935,-0.27422808253065273,small,False,False,machine,0.4696888912721162,False
sad (Sad),20,0.4704917218471829,0.8747383551120302,20,0.31275904542325095,0.29218738080719453,0.15773267642393196,0.15773267642393196,156.0,0.2084807057154946,0.24187396925147014,small,False,False,human,0.46750218857413933,False
anger (Anger),20,0.6497373210503834,1.0572695376839736,20,0.44297363472262746,0.6094325947695453,0.20676368632775594,0.20676368632775594,195.5,0.9079255372920401,0.23961214059799382,small,False,False,human,0.9568513064077546,False
number (Numbers),20,2.640913601474261,1.6578328150729025,20,2.9538833417043753,0.8244384865855607,-0.31296974023011437,0.31296974023011437,158.5,0.2673621552276778,-0.23905072779487518,small,False,False,machine,0.5206526180749516,False
female (Female),20,0.6674097253609023,1.7395956345410117,20,0.3612911304757055,0.6673117815970248,0.30611859488519677,0.30611859488519677,161.5,0.28100291692423496,0.23235191181484216,small,False,False,human,0.5278137244292229,False
they (They),20,1.8449176851989812,1.1712223963076192,20,1.6168782471179355,0.7663592602198118,0.22803943808104576,0.22803943808104576,217.0,0.6553463181427222,0.23040938161960373,small,False,False,human,0.7577441803525224,False
we (We),20,0.4747446254744035,0.9013923588350625,20,0.32438678194654436,0.3148383456993528,0.15035784352785914,0.15035784352785914,167.5,0.3548388010476433,0.22270576320950283,small,False,False,human,0.5586823676069278,False
posemo (Positive Emotions),20,2.482989803456482,1.4679487190241742,20,2.208956963238733,1.0792746718211277,0.2740328402177492,0.2740328402177492,221.5,0.5699635604914222,0.21270011062123975,small,False,False,human,0.7148695504468685,False
ingest (Ingest),20,0.4657221518096275,0.6247623195934638,20,0.5790819329245656,0.4591078703827788,-0.11335978111493805,0.11335978111493805,157.0,0.24209192920810707,-0.20677486463963382,small,False,False,machine,0.4976334100388867,False
sexual (Sexual),20,0.11363636363636365,0.49532942540234925,20,0.039278418649363135,0.1195519195936012,0.07435794498700052,0.07435794498700052,191.0,0.6146947844610118,0.20637320730364087,small,False,False,human,0.7336679685502399,False
relig (Religion),20,0.0863213693437574,0.2112356494540632,20,0.12414006931154933,0.17237686552993048,-0.03781869996779193,0.03781869996779193,160.0,0.17449081243661602,-0.1961674804543095,negligible,False,False,machine,0.40351000375967455,False
bio (Biological Processes),20,1.2462435943212085,1.0925694809792372,20,1.4328578743047147,0.885693059130087,-0.18661427998350621,0.18661427998350621,164.0,0.3364615428460126,-0.18764160292458007,negligible,False,False,machine,0.5586823676069278,False
hear (Hear),20,0.6669906076065338,0.886718964287645,20,0.5397005556754675,0.4500293317021741,0.12729005193106635,0.12729005193106635,183.0,0.6482692315296006,0.18103223316697165,negligible,False,False,human,0.7577441803525224,False
affiliation (Affiliation),20,1.8883178769235294,1.561900365707639,20,1.6753190358014056,0.7122134355584361,0.21299884112212375,0.21299884112212375,205.5,0.8923586503434681,0.17547624312737475,negligible,False,False,human,0.9568513064077546,False
discrep (Discrepancies),20,1.7866218847215816,1.1782194152996572,20,1.9452104645745212,0.895029880825805,-0.15858857985293962,0.15858857985293962,173.0,0.4734806277722057,-0.15157804620534832,negligible,False,False,machine,0.6644479919368511,False
quant (Quantifiers),20,1.4143898121250083,0.9041709277625447,20,1.3261672593065823,0.553814292033073,0.08822255281842595,0.08822255281842595,209.0,0.8181159308216835,0.11767006743799287,negligible,False,False,human,0.8903026306000673,False
anx (Anx),20,0.4073878613857208,0.5840152309560752,20,0.3621105898204837,0.3326215351450013,0.04527727156523709,0.04527727156523709,179.0,0.5639039610503447,0.09527193204179946,negligible,False,False,human,0.7148695504468685,False
reward (Reward),20,2.7879924395712776,1.544588598736647,20,2.6832797164928097,0.8541595392895919,0.1047127230784679,0.1047127230784679,203.0,0.9460839766250224,0.08389992150401913,negligible,False,False,human,0.9568513064077546,False
conj (Conjunctions),20,7.881318746961374,1.6239135980986734,20,7.982845889853271,1.165909320540002,-0.10152714289189735,0.10152714289189735,190.5,0.8076473479649269,-0.07182250007858132,negligible,False,False,machine,0.8903026306000673,False
focuspast (Past Focus),20,1.8641087954913225,1.6844812835134262,20,1.960674938050424,1.0672477328585597,-0.09656614255910156,0.09656614255910156,162.0,0.3103795608247747,-0.06848408621697484,negligible,False,False,machine,0.5468592262150792,False
risk (Risk),20,2.1333328023945577,1.5841475830213387,20,2.210759026432275,0.6917584615871691,-0.07742622403771726,0.07742622403771726,174.0,0.49025284893052967,-0.06334449894590097,negligible,False,False,machine,0.6718279781640593,False
differ (Differentiation),20,2.56991662422809,1.7322619760654834,20,2.4831493864782166,1.211492221385516,0.0867672377498736,0.0867672377498736,197.5,0.9568513064077546,0.05804870872019269,negligible,False,False,human,0.9568513064077546,False
feel (Feel),20,0.5275074360080236,0.6833211933089129,20,0.49800006012503406,0.47748294858133866,0.029507375882989573,0.029507375882989573,180.0,0.5856498165559559,0.05005861882520811,negligible,False,False,human,0.7223014404190123,False
focusfuture (Future Focus),20,1.064156829048662,1.3887536731394443,20,1.0197761670211496,0.6417894477608015,0.04438066202751245,0.04438066202751245,161.0,0.29576606042647113,0.041025286764557356,negligible,False,False,human,0.5338216700380211,False
negate (Negations),20,1.2712523576413053,0.929570804059177,20,1.2419021607485505,0.6458587780123104,0.029350196892754754,0.029350196892754754,202.5,0.9568452383322317,0.03667005363254558,negligible,False,False,human,0.9568513064077546,False
dictionary_coverage,20,69.41469245738027,7.148661253967107,20,69.2348032042094,2.613615909264607,0.17988925317087023,0.17988925317087023,215.0,0.6948910198677665,0.03342351823810356,negligible,False,False,human,0.7911066995417648,False
prep (Prepositions),20,21.23317240533023,3.4983411650603045,20,21.143154087041186,2.1443629532128043,0.09001831828904372,0.09001831828904372,210.0,0.7971881138618718,0.0310254165147668,negligible,False,False,human,0.8903026306000673,False
