term,characteristic_of,distinctiveness,eta_human,eta_machine,abs_distinctiveness
oficial,machine,-3.2731679708151233,-3.0283415951005255,0.24482637571459784,3.2731679708151233
globo,human,3.1934921344636766,1.3481001927060847,-1.845391941757592,3.1934921344636766
real,machine,-3.160372865599352,-2.917144548342966,0.24322831725638572,3.160372865599352
grupos,machine,-3.160310988083141,-2.9170781075454544,0.2432328805376865,3.160310988083141
secreto,machine,-3.160145501462677,-2.916912847451799,0.24323265401087843,3.160145501462677
de que,machine,-3.160137181500656,-2.9169059931221883,0.2432311883784675,3.160137181500656
de dinheiro,machine,-3.1599951770427177,-2.916762285159962,0.24323289188275546,3.1599951770427177
oficiais,machine,-3.0301619724937585,-2.788974244633277,0.2411877278604817,3.0301619724937585
risco,machine,-3.0301184036952056,-2.788925052187632,0.24119335150757382,3.0301184036952056
incluindo,machine,-3.0301036872717417,-2.7889108247351024,0.2411928625366392,3.0301036872717417
envolvendo,machine,-3.0300690978418583,-2.788879860621593,0.24118923722026508,3.0300690978418583
teria sido,machine,-3.029876549517195,-2.788682698536961,0.2411938509802343,3.029876549517195
estariam,machine,-3.0297522749615657,-2.78856074517184,0.2411915297897257,3.0297522749615657
internacionais,machine,-3.0297467429718705,-2.788564713703096,0.24118202926877447,3.0297467429718705
diante,machine,-3.0297240938869834,-2.7885507096852846,0.24117338420169876,3.0297240938869834
grandes,machine,-3.0297063214580873,-2.788513357666859,0.24119296379122854,3.0297063214580873
investigacoes,machine,-3.0296965239389664,-2.788507496835218,0.24118902710374834,3.0296965239389664
proteger,machine,-2.8782315451134237,-2.6390412651922124,0.23919027992121136,2.8782315451134237
aliados,machine,-2.8782259918265973,-2.6390343464536232,0.2391916453729739,2.8782259918265973
ilegal,machine,-2.8780700870750215,-2.638880878046603,0.23918920902841867,2.8780700870750215
publicos,machine,-2.8780352959396103,-2.6388466266580473,0.23918866928156296,2.8780352959396103
que as,machine,-2.877975577983644,-2.6387774064544205,0.2391981715292234,2.877975577983644
revelam,machine,-2.877952429670716,-2.6387627808805094,0.23918964879020657,2.877952429670716
novo,machine,-2.8778989881423764,-2.638719026431261,0.23917996171111536,2.8778989881423764
antes,machine,-2.8778387102693945,-2.638650497513623,0.2391882127557715,2.8778387102693945
partir,human,2.4111494516369794,1.2126893315615033,-1.1984601200754759,2.4111494516369794
ou,human,2.2773680934811447,1.1800122544513227,-1.097355839029822,2.2773680934811447
hoje,human,2.255271282207284,1.1746859506492668,-1.0805853315580167,2.255271282207284
so,human,2.2552645015925585,1.1746750468830789,-1.0805894547094796,2.2552645015925585
muito,human,2.157916054662927,1.1475471102766392,-1.0103689443862875,2.157916054662927
que ele,human,2.068206883446481,1.121180288697351,-0.9470265947491299,2.068206883446481
quem,human,2.0681973239686813,1.1211684499266203,-0.947028874042061,2.0681973239686813
mundo,human,2.068194750042413,1.1211675994832029,-0.9470271505592102,2.068194750042413
isso,human,2.0681904340914343,1.1211641188779091,-0.9470263152135251,2.0681904340914343
ele,human,2.0431566355347712,1.1133867859045647,-0.9297698496302065,2.0431566355347712
seus,human,2.0224687910384156,1.1073870874524423,-0.9150817035859734,2.0224687910384156
que nao,human,1.8667055402940294,1.0569510968401046,-0.8097544434539248,1.8667055402940294
pessoas,human,1.866700518323932,1.0569493399721952,-0.8097511783517367,1.866700518323932
delacao,human,1.8666969830654407,1.056946833414534,-0.8097501496509066,1.8666969830654407
tempo,human,1.8417266042641436,1.048761822679936,-0.7929647815842075,1.8417266042641436
vida,human,1.8417262590204593,1.048762167134193,-0.7929640918862665,1.8417262590204593
mostra,human,1.8417250407887258,1.0487623498485372,-0.7929626909401886,1.8417250407887258
todo,human,1.8417207708756886,1.0487622198485167,-0.792958551027172,1.8417207708756886
sao,human,1.7788454440452912,1.0258638221171026,-0.7529816219281887,1.7788454440452912
este,human,1.6798220318201453,0.9878291814894851,-0.6919928503306602,1.6798220318201453
se,human,1.557736293595725,0.9395699320240692,-0.6181663615716558,1.557736293595725
no pais,human,1.546381397332369,0.9354925656313857,-0.6108888317009834,1.546381397332369
forca,human,1.5463801398152623,0.9354998979948241,-0.6108802418204382,1.5463801398152623
porem,human,1.5463752479433017,0.9354913885266934,-0.6108838594166084,1.5463752479433017
seja,human,1.546369056888739,0.9354966252311334,-0.6108724316576056,1.546369056888739
em que,human,1.5463656459273616,0.935495018078545,-0.6108706278488166,1.5463656459273616
mil,human,1.5200826665666471,0.9233624689222635,-0.5967201976443838,1.5200826665666471
mais de,human,1.4818186957845167,0.9064948028797182,-0.5753238929047987,1.4818186957845167
estao,human,1.4530077421102279,0.8945140107470815,-0.5584937313631465,1.4530077421102279
esta,human,1.4031719000217537,0.8720712093428821,-0.5311006906788717,1.4031719000217537
rede,human,1.4008745007443213,0.8702541001800995,-0.5306204005642218,1.4008745007443213
deputados,human,1.4008474600123204,0.8702322407418634,-0.5306152192704569,1.4008474600123204
tem,human,1.3289960353245667,0.8375304790182304,-0.4914655563063363,1.3289960353245667
seu,human,1.3084111624813817,0.8276165370894468,-0.4807946253919349,1.3084111624813817
ministro,human,1.2084823661511792,0.7785025085975648,-0.42997985755361445,1.2084823661511792
pais,human,1.2011604945639114,0.7745154919830318,-0.4266450025808796,1.2011604945639114
caso,human,1.1937207067759696,0.7711452747439252,-0.42257543203204434,1.1937207067759696
sera,human,1.190381534912423,0.7693245297092517,-0.4210570052031713,1.190381534912423
ex presidente,human,1.1903633491359722,0.7693240584076643,-0.42103929072830787,1.1903633491359722
nao,human,1.18199020929911,0.7651580401646273,-0.4168321691344827,1.18199020929911
nunca,human,1.1736856963320286,0.7608836188939592,-0.41280207743806946,1.1736856963320286
esse,human,1.173681146722548,0.7608850418904357,-0.41279610483211243,1.173681146722548
deputado,human,1.1736743317597702,0.7608792402171127,-0.4127950915426575,1.1736743317597702
do ex,human,1.1573361324683233,0.7529705301289659,-0.40436560233935753,1.1573361324683233
deve,human,1.1573244740151316,0.7529600364832979,-0.40436443753183365,1.1573244740151316
momento,human,1.1573137510521567,0.7529482715840099,-0.4043654794681469,1.1573137510521567
decisao,human,1.0625447921147548,0.7022136191022701,-0.3603311730124848,1.0625447921147548
