term,characteristic_of,distinctiveness,eta_human,eta_machine,abs_distinctiveness
muito,human,2.1222739518246168,1.160366623600188,-0.9619073282244287,2.1222739518246168
brasil,human,1.9488636174304088,1.106379926022444,-0.8424836914079649,1.9488636174304088
algumas,human,1.8933948222312829,1.0857908013695416,-0.8076040208617412,1.8933948222312829
que nao,human,1.8933525811816458,1.0857926528786548,-0.8075599283029911,1.8933525811816458
isso,human,1.8300539549334132,1.0646904319349535,-0.7653635229984596,1.8300539549334132
de lula,human,1.8288368018505832,1.064218471302469,-0.7646183305481141,1.8288368018505832
foi,human,1.819961439827328,1.0611042983847345,-0.7588571414425936,1.819961439827328
mais,human,1.8028094490607498,1.0545866221689553,-0.7482228268917944,1.8028094490607498
mesmo,human,1.7303265694527825,1.0267887948092045,-0.703537774643578,1.7303265694527825
policia,human,1.709717916546786,1.0192501746751677,-0.6904677418716182,1.709717916546786
nao,human,1.6545203481289241,0.997236888635508,-0.6572834594934163,1.6545203481289241
os,human,1.65270406084342,0.9964641472686202,-0.6562399135747999,1.65270406084342
no brasil,human,1.5924323570428593,0.9681217990133576,-0.6243105580295016,1.5924323570428593
ha,human,1.592150540605962,0.9681305344858829,-0.624020006120079,1.592150540605962
nos,human,1.5741401320848025,0.9637563237021746,-0.6103838083826281,1.5741401320848025
podera,human,1.5011754167998577,0.931492582704791,-0.5696828340950668,1.5011754167998577
mundo,human,1.5010881147587765,0.9315126758773521,-0.5695754388814245,1.5010881147587765
aos,human,1.5010800299966098,0.931491940651455,-0.5695880893451548,1.5010800299966098
situacao,human,1.5010513121055458,0.9315007368679896,-0.5695505752375561,1.5010513121055458
diz,human,1.4493040274613054,0.9089107312385607,-0.5403932962227448,1.4493040274613054
equipe,human,1.4493027562468157,0.9089095973558516,-0.5403931588909641,1.4493027562468157
seu,human,1.4492969876060187,0.908904553223776,-0.5403924343822426,1.4492969876060187
tem,human,1.4215868198016945,0.8963858015781703,-0.5252010182235243,1.4215868198016945
tambem,human,1.3657760981670721,0.8700521439176129,-0.4957239542494593,1.3657760981670721
ser,human,1.3657683349172642,0.8700380161442389,-0.4957303187730254,1.3657683349172642
lula,human,1.3610704952109338,0.8677007779565347,-0.49336971725439915,1.3610704952109338
se,human,1.3499068592737005,0.8625243346883789,-0.4873825245853217,1.3499068592737005
no,human,1.2965643469941848,0.8364081370656944,-0.46015620992849043,1.2965643469941848
como,human,1.2547250822808045,0.8154190070637168,-0.43930607521708775,1.2547250822808045
pela,human,1.2495464386188089,0.8128834077970813,-0.4366630308217276,1.2495464386188089
ter,human,1.2204885397155278,0.79786686583874,-0.42262167387678773,1.2204885397155278
rede,human,1.2204726370233625,0.7978501581875974,-0.42262247883576504,1.2204726370233625
horas,human,1.2204720815587946,0.797849602247106,-0.42262247931168856,1.2204720815587946
nao foi,human,1.2015960308135012,0.7863909977219409,-0.41520503309156026,1.2015960308135012
