metric,human_n,human_mean,human_std,machine_n,machine_mean,machine_std,difference,abs_difference,u_statistic,u_p_value,cohens_d,effect_size,significant_005,significant_001,characteristic_of,q_value,significant_fdr_005
leisure (Leisure),20,1.5147189934183163,1.8214748907597234,20,0.795094338553946,0.9508846637269529,0.7196246548643703,0.7196246548643703,227.5,0.4616873495188133,0.4952954799140123,small,False,False,human,0.6832972772878436,False
male (Male),20,1.4243613681695382,1.6293080363983037,20,0.8103764376490481,0.6484864863349963,0.6139849305204901,0.6139849305204901,234.5,0.3539761135806311,0.4951507959306056,small,False,False,human,0.5953234637492432,False
focuspresent (Present Focus),20,5.653183326217173,2.0037577551164123,20,4.818752167439259,1.3030231610036622,0.8344311587779139,0.8344311587779139,260.0,0.10751135969600566,0.49371537105506436,small,False,False,human,0.2651946872501473,False
nonflu (Nonfluencies),20,0.0845327950991045,0.2039264836878773,20,0.011764705882352941,0.05128116404165497,0.07276808921675156,0.07276808921675156,221.5,0.27528070419475814,0.48940384822233,small,False,False,human,0.5505614083895163,False
quant (Quantifiers),20,1.4143898121250083,0.9041709277625447,20,1.0676301847266119,0.5340706546634174,0.3467596273983964,0.3467596273983964,242.5,0.25580163105555,0.4669858337512197,small,False,False,human,0.5377671839726312,False
we (We),20,0.4747446254744035,0.9013923588350625,20,0.17124479518812258,0.19979062053611055,0.3034998302862809,0.3034998302862809,206.0,0.8665761131245038,0.4648849584066229,small,False,False,human,1.0,False
ipron (Impersonal Pronouns),20,13.71803652601326,3.158851925330114,20,12.580976992934962,1.7517519641770323,1.1370595330782969,1.1370595330782969,248.0,0.19883449020829447,0.4451877401974633,small,False,False,human,0.4458712810731451,False
friend (Friends),20,0.6537121903337919,0.6889316577775912,20,0.4055482037644197,0.3918412111202613,0.24816398656937222,0.24816398656937222,217.5,0.6383613110769162,0.44280897643705347,small,False,False,human,0.8435488753516392,False
differ (Differentiation),20,2.56991662422809,1.7322619760654834,20,1.9930652524845756,0.7681157626042363,0.5768513717435146,0.5768513717435146,226.0,0.4903139142298173,0.4305140685841535,small,False,False,human,0.6977544164039707,False
focuspast (Past Focus),20,1.8641087954913225,1.6844812835134262,20,1.3055675697831397,0.8028609743714515,0.5585412257081828,0.5585412257081828,222.0,0.5607781635827975,0.42330356220414916,small,False,False,human,0.7684737797245744,False
negate (Negations),20,1.2712523576413053,0.929570804059177,20,0.9597942776895303,0.5728736432621511,0.311458079951775,0.311458079951775,236.0,0.3368245700388961,0.40338928771050914,small,False,False,human,0.5796515856483329,False
anx (Anx),20,0.4073878613857208,0.5840152309560752,20,0.5906330031540284,0.3321374165658861,-0.18324514176830764,0.18324514176830764,125.5,0.04244694102464944,-0.38571982028919705,small,True,False,machine,0.17450409087911434,False
they (They),20,1.8449176851989812,1.1712223963076192,20,1.4809939561033645,0.6624327090816297,0.36392372909561677,0.36392372909561677,237.0,0.3234590495615579,0.38248695950606465,small,False,False,human,0.5796515856483329,False
conj (Conjunctions),20,7.881318746961374,1.6239135980986734,20,7.354231650892548,1.3355734329373044,0.5270870960688256,0.5270870960688256,237.5,0.31687503948747564,0.35452299154938754,small,False,False,human,0.5796515856483329,False
home (Home),20,0.1187981484651911,0.2762149027043495,20,0.21885588737083714,0.3147941186709579,-0.10005773890564604,0.10005773890564604,145.0,0.08351108045416765,-0.3378805997392966,small,False,False,machine,0.23768538283109256,False
feel (Feel),20,0.5275074360080236,0.6833211933089129,20,0.35564190653938327,0.3848332181724356,0.17186552946864037,0.17186552946864037,206.0,0.8760043940883373,0.30992569540267784,small,False,False,human,1.0,False
assent (Assent),20,0.18440166033135705,0.290286685213724,20,0.11574131481221683,0.18046057647820113,0.06866034551914021,0.06866034551914021,210.5,0.7508235188990009,0.2840791578673577,small,False,False,human,0.9579472482504495,False
death (Death),20,0.3179888706700109,0.652917651724911,20,0.1721170564043311,0.33479595228809345,0.14587181426567983,0.14587181426567983,200.0,1.0,0.28114992681586454,small,False,False,human,1.0,False
bio (Biological Processes),20,1.2462435943212085,1.0925694809792372,20,1.0011886136087318,0.6112265563269328,0.24505498071247667,0.24505498071247667,208.0,0.839083250009229,0.27682265986928006,small,False,False,human,1.0,False
prep (Prepositions),20,21.23317240533023,3.4983411650603045,20,21.961272722220638,1.862659730064935,-0.7281003168904085,0.7281003168904085,180.0,0.5978625674290079,-0.2598048547790193,small,False,False,machine,0.8043969089044833,False
family (Family),20,0.25554048943652713,0.5246703378785066,20,0.37613216719646786,0.4096948976725857,-0.12059167775994073,0.12059167775994073,140.0,0.06914909782737583,-0.25619303067366306,small,False,False,machine,0.21971438709740662,False
adverb (Adverbs),20,7.257033015966334,3.161545441672411,20,7.874546787323359,1.391650950217113,-0.6175137713570251,0.6175137713570251,170.0,0.4248617519142006,-0.25281561566000404,small,False,False,machine,0.6441575929031644,False
compare (Comparisons),20,1.439230365841115,1.2917375160462872,20,1.6809826814340894,0.474485480926833,-0.2417523155929744,0.2417523155929744,161.5,0.303177404191448,-0.24844341819632912,small,False,False,machine,0.5767254717918362,False
sexual (Sexual),20,0.11363636363636365,0.49532942540234925,20,0.03067484662576687,0.1337085565503274,0.08296151701059677,0.08296151701059677,200.5,1.0,0.22867813207205104,small,False,False,human,1.0,False
female (Female),20,0.6674097253609023,1.7395956345410117,20,0.3938463327311453,0.4382199626446815,0.273563392629757,0.273563392629757,145.0,0.1275829463038715,0.21565744675774123,small,False,False,human,0.30455283956408036,False
sad (Sad),20,0.4704917218471829,0.8747383551120302,20,0.32988752765579515,0.3709127895741371,0.14060419419138775,0.14060419419138775,169.0,0.3662688315945698,0.2092816215362385,small,False,False,human,0.602308745288848,False
interrog (Interrogatives),20,3.3192217955365857,1.4263103285854952,20,3.558974589692528,0.9580372093191024,-0.23975279415594208,0.23975279415594208,176.0,0.5249869101903615,-0.19733587623905263,negligible,False,False,machine,0.7330005915865424,False
relig (Religion),20,0.0863213693437574,0.2112356494540632,20,0.05253150871656729,0.14011218336512318,0.03378986062719012,0.03378986062719012,202.5,0.9306120732473914,0.18852039080365168,negligible,False,False,human,1.0,False
swear (Swear),20,0.023923444976076555,0.10427987903207353,20,0.010224948875255624,0.04456951885010913,0.01369849610082093,0.01369849610082093,200.5,1.0,0.1708264007064494,negligible,False,False,human,1.0,False
affiliation (Affiliation),20,1.8883178769235294,1.561900365707639,20,1.6879608752302673,0.6855165558840965,0.2003570016932621,0.2003570016932621,202.0,0.9676194252577107,0.16611654924550143,negligible,False,False,human,1.0,False
posemo (Positive Emotions),20,2.482989803456482,1.4679487190241742,20,2.2799814578243014,0.9716641800832294,0.20300834563218073,0.20300834563218073,217.0,0.6553463181427222,0.16308640933117505,negligible,False,False,human,0.8508004832028323,False
time (Time),20,5.457556533751758,2.8148865728473518,20,5.809607543151571,1.4636088440574235,-0.3520510093998128,0.3520510093998128,161.5,0.30394991080921097,-0.15692704486892942,negligible,False,False,machine,0.5767254717918362,False
focusfuture (Future Focus),20,1.064156829048662,1.3887536731394443,20,0.8966785098448131,0.6103083413567683,0.16747831920384892,0.16747831920384892,173.0,0.4709732445930763,0.15613656301511372,negligible,False,False,human,0.6833729431350519,False
article (Articles),20,15.315266418606296,3.5088829343509444,20,14.913551444708663,2.120395264682926,0.4017149738976329,0.4017149738976329,242.0,0.2616164678785774,0.13857046162783637,negligible,False,False,human,0.5377671839726312,False
certain (Certainty),20,1.0832113539462676,1.063852532968167,20,0.9740653009307361,0.4434880441449379,0.10914605301553149,0.10914605301553149,198.5,0.9783618694216256,0.13392083897298201,negligible,False,False,human,1.0,False
health (Health),20,0.35585302018345777,0.6533004307760838,20,0.43026811399674053,0.4582132768885904,-0.07441509381328276,0.07441509381328276,142.0,0.09640284674840863,-0.1318827064892287,negligible,False,False,machine,0.2547789521207942,False
motion (Motion),20,4.472316979611244,2.722351368566919,20,4.255298775753166,1.3630754082547338,0.21701820385807746,0.21701820385807746,192.5,0.8498110603586766,0.10080700286850143,negligible,False,False,human,1.0,False
dictionary_coverage,20,69.41469245738027,7.148661253967107,20,69.91489738856542,2.907670451270322,-0.5002049311851522,0.5002049311851522,203.0,0.9460814514061433,-0.09166282961004636,negligible,False,False,machine,1.0,False
number (Numbers),20,2.640913601474261,1.6578328150729025,20,2.536446378062135,0.8238490570568585,0.10446722341212578,0.10446722341212578,194.5,0.8924038314470085,0.07980485677593173,negligible,False,False,human,1.0,False
negemo (Negative Emotions),20,2.19899471865431,1.958130100957614,20,2.324195730084612,1.3737189650917947,-0.1252010114303017,0.1252010114303017,167.5,0.38657431489781613,-0.0740239986698228,negligible,False,False,machine,0.6086489213284765,False
filler (Filler Words),20,0.07890301400378699,0.16891458359644043,20,0.06745968738566184,0.15110728599881681,0.011443326618125152,0.011443326618125152,201.0,0.9845559356909405,0.07140544449378015,negligible,False,False,human,1.0,False
reward (Reward),20,2.7879924395712776,1.544588598736647,20,2.7019428646122705,1.0740709255425869,0.08604957495900711,0.08604957495900711,206.0,0.8817307917391243,0.06468446499000499,negligible,False,False,human,1.0,False
tentat (Tentative),20,1.7956182157777765,0.9526816272283702,20,1.745557217674375,0.9152823770589529,0.05006099810340148,0.05006099810340148,207.0,0.8604309737352772,0.05358879225637521,negligible,False,False,human,1.0,False
affect (Affect),20,4.730992458618729,2.367462610121404,20,4.630986839383445,1.436810906259318,0.10000561923528473,0.10000561923528473,197.0,0.9460839766250224,0.05106947606440994,negligible,False,False,human,1.0,False
anger (Anger),20,0.6497373210503834,1.0572695376839736,20,0.6949402467909416,0.8752737411861071,-0.045202925740558175,0.045202925740558175,150.0,0.16894585380754223,-0.04657468960678587,negligible,False,False,machine,0.3906872869299414,False
ingest (Ingest),20,0.4657221518096275,0.6247623195934638,20,0.4749711404407152,0.3176474589185411,-0.009248988631087696,0.009248988631087696,164.0,0.3303420778684598,-0.018662410874171982,negligible,False,False,machine,0.5796515856483329,False
